Date,Description,Amount,Category,Is_Cru,Nuance_Check,2,3,2.1,3.1,DateObj,2.2,3.2,2.3,3.3,2.4,3.4,2.5,3.5,2.6,3.6,2,3
2026-02-24,ONLINE TRANSFER REF #IB0WYSMXY9 TO WELLS FARGO AUTOGRAPH VISA CARD XXXXXXXXXXXX0814 ON 02/23/26,2000.0,Car Maintenance,False,False,,,,,,,,,,,,,,,,*,
2026-02-23,ONLINE PAYMENT THANK YOU,-2000.0,,False,False,,,,,,,,,,,,,,,,*,
2026-02-23,SQ *EILAND COFFEE ROASTERRicharardson TX,31.0,,False,False,,,,,,,,,,,,,,,,*,
2026-02-23,ONLINE PAYMENT THANK YOU,-1113.01,,False,False,,,,,,,,,,,,,,,,*,
2026-02-22,EXXON QUICK CHECK #3 FARMERSVILLE TX,29.81,Gas,False,False,,,,,,,,,,,,,,,,*,
2026-02-21,PIZZA HUT 027274 https://ipchaTX,25.75,Eating Out,False,False,,,,,,,,,,,,,,,,*,
2026-02-21,SPO*CHOCOLATEDRIP RICHARDSON TX,25.7,,False,False,,,,,,,,,,,,,,,,*,
2026-02-20,AMAZON MKTPL*TI0PC3OL3 Amzn.com/billWA,42.05,House,False,True,,,,,,,,,,,,,,,,*,
2026-02-19,TARGET.COM 800-591-3869 MN,15.0,House,False,True,,,,,,,,,,,,,,,,*,
2026-02-19,DISCOUNT-TIRE-CO TXD-09 DALLAS TX,673.59,Car Maintenance,False,False,,,,,,,,,,,,,,,,*,
2026-02-19,DISCOUNT-TIRE-CO TXD-09 DALLAS TX,89.99,Car Maintenance,False,False,,,,,,,,,,,,,,,,*,
2026-02-19,TARGET.COM 800-591-3869 MN,37.69,House,False,True,,,,,,,,,,,,,,,,*,
2026-02-19,TARGET.COM * 800-591-3869 MN,39.79,House,False,True,,,,,,,,,,,,,,,,*,
2026-02-19,TARGET.COM * 800-591-3869 MN,134.89,House,False,True,,,,,,,,,,,,,,,,*,
2026-02-19,AIRBNB * HMQRTS8M4Y AIRBNB.COM CA,1707.34,,False,False,,,,,,,,,,,,,,,,*,
2026-02-19,CHECK # 183,185.0,,False,False,,,,,,,,,,,,,,,,*,183.0
2026-02-19,DEPOSITED ITEM RETN UNPAID - PAPER 260219,38.16,,False,False,,,,,,,,,,,,,,,,*,
2026-02-18,SP EQUIP EQUIPFOODS.COFL,100.58,,False,False,,,,,,,,,,,,,,,,*,
2026-02-17,ONLINE TRANSFER REF #IB0WVYMSSM TO WELLS FARGO AUTOGRAPH VISA CARD XXXXXXXXXXXX0814 ON 02/16/26,1046.46,Car Maintenance,False,False,,,,,,,,,,,,,,,,*,
2026-02-17,MOBILE DEPOSIT : REF NUMBER :006160485129,-38.16,,False,False,,,,,,,,,,,,,,,,*,
2026-02-16,ONLINE PAYMENT THANK YOU,-1046.46,,False,False,,,,,,,,,,,,,,,,*,
2026-02-16,OUR LIGHT CHIROPRACTIC 9723874700 TX,75.0,,False,False,,,,,,,,,,,,,,,,*,
2026-02-15,AMAZON MKTPL*AS97V1P63 Amzn.com/billWA,115.83,House,False,True,,,,,,,,,,,,,,,,*,
2026-02-15,Amazon.com*NB0CV11P3 Amzn.com/billWA,157.85,Felicity Formula,False,True,,,,,,,,,,,,,,*,,,
2026-02-14,SQ *MASSAGE BY MONICA GARLAND TX,144.0,Massage,False,False,,,,,,,,,,,,,,*,,,
2026-02-14,CHICK-FIL-A APP 866-232-2040 GA,25.0,Eating out,False,False,,,,,,,,,,,,,,*,,,
2026-02-13,ATMOS ENERGY RCR UTIL PYMT 004039617215 TYLER LUKER,168.06,Utilities,False,False,,,,,,,,,,,,,,*,,,
2026-02-13,CHWYINC*GPAYRE6Y24TJYG CHEWY.COM FL,70.93,Dog Expenses,False,False,,,,,,,,,,,,,,*,,,
2026-02-13,EXXON 7-ELEVEN 35415 DALLAS TX,44.07,Gas,False,False,,,,,,,,,,,,,,*,,,
2026-02-12,VENMO PAYMENT 260212 1048251471921 TYLER LUKER,15.0,,True,False,,,,,,,,,,,,*,,,,,
2026-02-12,RECURRING PAYMENT AUTHORIZED ON 02/11 Spectrum 855-707-7328 MO S466042585325035 CARD 7823,40.0,TV/Internet,False,False,,,,,,,,,,,,*,,,,,
2026-02-11,CRU 321-443-7585 FL,9.99,TV/Internet,False,False,,,,,,,,,,,,*,,,,,
2026-02-11,CRU 321-443-7585 FL,9.99,TV/Internet,False,False,,,,,,,,,,,,*,,,,,
2026-02-10,"CAMPUS CRUSADE F DONATION 260210 1-DDP7ZDG Luker, Tyler and Maria",100.0,Giving,False,False,,,,,,,,,,,,*,,,,,
2026-02-10,KROGER #0526 RICHARDSON TX,13.95,Felicity Formula,False,False,,,,,,,,,,,,*,,,,,
2026-02-10,THRIFT CITY RICHARDSON RICHARDSON TX (Split),25.49,Clothes,False,False,,,,,,,,,,,,,,,,,
2026-02-10,THRIFT CITY RICHARDSON RICHARDSON TX (Split),23.0,Felicity,False,False,,,,,,,,,,,,,,,,,
2026-02-09,RACETRAC 697 GARLAND TX,31.11,Gas,False,False,,,,,,,,,,,,*,,,,,
2026-02-09,ARAMARK ARNOLD DINING HALDALLAS TX,14.32,,True,False,,,,,,,,,,,,*,,,,,
2026-02-08,WOOMEEOAK KOREAN RESTAURADALLAS TX,71.8,Dates,False,False,,,,,,,,,,,,*,,,,,
2026-02-08,MCDONALD'S F13619 RICHARDSON TX,16.64,Eating out,False,False,,,,,,,,,,,,*,,,,,
2026-02-08,SQ *WINTONWOOD LLC DBA PLgosq.com TX,16.24,Mirren,False,False,,,,,,,,,,,,*,,,,,
2026-02-08,MCDONALD'S F13619 RICHARDSON TX,3.99,Eating out,False,False,,,,,,,,,,,,*,,,,,
2026-02-07,ACT*RichardsonParksRec 866-5610647 TX,74.0,Gifts,False,False,,,,,,,,,,,,*,,,,,
2026-02-05,ZELLE TO ELSHA ON 02/05 REF # WFCT0ZRXN6Z7,5.0,,True,True,,,,,,,,*,,,,,,,,,
2026-02-05,LOFT CITY CHURCH LOFTCITY.CHURTX,20.75,Giving,False,False,,,,,,,,,,,,*,,,,,
2026-02-05,AMERICAN AIR0010642688840FORT WORTH TX,72.08,Pocket Money,False,False,,,,,,,,,,*,,,,,,,
2026-02-05,AMERICAN AIR0012313889423FORT WORTH TX,382.8,Pocket Money,False,False,,,,,,,,,,*,,,,,,,
2026-02-04,TARGET 00014308 RICHARDSON TX (Split),84.99,Groceries,False,False,,,,,,,,,,,,,,,,,
2026-02-04,TST*EILAND - CANYON CREE Richardson TX,35.7,Groceries,False,False,,,,,,,,,,,,*,,,,,
